id,edit_history_tweet_ids,author_id,text,sentiment,confidence
1991776610895425914,['1991776610895425914'],4575990912,"@amazonIN @AmazonScience @AmazonHelp  This is unacceptable! I'm your Prime member and just received my order - a completely DAMAGED and BROKEN product! This is clearly a USED item that someone returned after breaking it, and you just sent it to me as ""new"". Product covers are",negative,0.977609395980835
1991776588502118551,['1991776588502118551'],1623639640489197568,@AmazonHelp Amazon already has the details,neutral,0.7722216844558716
1991776554595287320,['1991776554595287320'],1991770118884651008,"@AmazonHelp @AmazonHelp My return was picked up 13 days ago but I still have not received my refund. 
This delay is causing a lot of inconvenience. 
Please check and process my refund immediately.

Order ID: 408-5430716-8939513",negative,0.9621005654335022
1991776544168243275,['1991776544168243275'],1944998459649744898,@AmazonHelp I have dm’ed but no reply,negative,0.6762130260467529
1991776278907875474,['1991776278907875474'],2904535895,@AmazonHelp @PrimeVideoCA Forward my message to the appropriate team. Your bot isn't understanding. https://t.co/5swHSHsk9x,negative,0.9414470791816711
1991776236105003501,['1991776236105003501'],1449759622995185668,"@AmazonHelp You guys should check it yourselves. I even tried uninstalling and reinstalling, but it’s still the same. Please look into the problem and find a solution. The support team never reaches out on their own.",negative,0.9537351727485657
1991776147684880731,['1991776147684880731'],1864628125352513536,@AmazonHelp Not solved this side,negative,0.9257903099060059
1991776094635307230,['1991776094635307230'],1931358928333381632,"@AmazonHelp @Abhijeetvrsn @samirkumar @JeffBezos @AmazonHelp @AmitAgarwal @jagograhakjago @amazonIN 171-0669045-3070755
I have bought a Samsung mobile received in dead &amp; Damage condition on 4th Sep,since then I am continuously contacting Amazon but have not received any help in this regards.",negative,0.6788246631622314
1991776034864867841,['1991776034864867841'],1864628125352513536,@AmazonHelp Not solved this side,negative,0.9257903099060059
1991775201470959820,['1991775201470959820'],1944998459649744898,@AmazonHelp Wth ! I need to know how to send this crap back and get my money back !,negative,0.9799874424934387
1991774613731438969,['1991774613731438969'],1878769907812167680,@AmazonHelp I never Heard anything back from anybody I submitted the info just like you asked and still cannot get a response,negative,0.9708358645439148
1991773985449865377,['1991773985449865377'],3759282014,@amazonIN @AmazonHelp I unable to connect customer service please arrange a call back request for me,negative,0.8755733370780945
1991773486583541776,['1991773486583541776'],2966540870,@amazonIN @AmazonHelp A lot of parcels are not getting delivered but delivery boy marking the order delivered. This is happening a lot in my area (pin code 400072),negative,0.894218385219574
1991773083712254319,['1991773083712254319'],1938458810462638080,@AmazonHelp Again tell me what should i do i have added my mail and please  provide  some mail  address  whomever i can talk to regarding refunds,neutral,0.8616017699241638
1991772778098487717,['1991772778098487717'],1695776660937940992,@AmazonHelp @amazonIN  can you give me prove of originality https://t.co/yKqqcim5dw,neutral,0.7824171781539917
1991772750344778192,['1991772750344778192'],1237383804957765633,@bhanugurgaon @NHAI_Official @nitingadkari @MORTHIndia @nitin_gadkari @ICICIBank @ICICIBank_Care @amazonIN @AmazonHelp please support,neutral,0.7677597999572754
1991772165407133834,['1991772165407133834'],1991761853094195200,@AmazonHelp Ok. Thank you. Will do the needful.,positive,0.7875003218650818
1991772008649294001,['1991772008649294001'],1594524588490330116,@AmazonHelp Not connect specialist team,negative,0.8819183707237244
1991771737755934863,['1991771737755934863'],1695776660937940992,"@AmazonHelp They Said,  Well can't help you https://t.co/yKqqcim5dw",negative,0.8951606750488281
1991771326609285331,['1991771326609285331'],1991770118884651008,"@AmazonHelp I returned my product, but my refund has still not been credited.  
It has been several days with no resolution.  
Please look into this issue urgently and process my refund.  
Order ID: 408-5430716-8939513",negative,0.947178304195404
1991771289699381425,['1991771289699381425'],1004854056,@AmazonHelp @AmazonUK I have asked your idiots in customer service and on here a number of times for a contract for your legal team and press office as I am putting the recent lies from your customers service team out there for everyone to see your fraudulent ways,negative,0.9613756537437439
1991771273161240676,['1991771273161240676'],1719252217084129280,@AmazonHelp Resolve the case on top priority,neutral,0.7563031315803528
1991771218748535046,['1991771218748535046'],1991739757878255616,@AmazonHelp After this long back-and-forth I have no expectations from Amazon and now Police will only find where my product went. Complaint has already been filed.,negative,0.9430051445960999
1991771070836376046,['1991771070836376046'],1722212110665699328,@AmazonHelp This link is not working,negative,0.9358202815055847
1991770722902155487,['1991770722902155487'],1991761853094195200,@amazonIN @AmazonHelp even after messaging you directly via DM. Visiting the link you sent in the DM and initiating the customer service chat. That chat has no response.,negative,0.8758550882339478
1991770713758507384,['1991770713758507384'],159149122,@AmazonHelp No use,negative,0.7689540386199951
1991770314578227401,['1991770314578227401'],1496523922694565888,@AmazonHelp @amazonIN @help_delhivery @AmitAgarwal I have filled in the details here and I request you to reply soon.,neutral,0.8090640306472778
1991770066002801101,['1991770066002801101'],159149122,@AmazonHelp No use,negative,0.7689540386199951
1991770011422322897,['1991770011422322897'],159149122,@AmazonHelp No one is replying leaving the chat in between,negative,0.8821449875831604
1991769977238777979,['1991769977238777979'],159149122,@AmazonHelp Still the issue not resolved,negative,0.9326987862586975
1991769816164938113,['1991769816164938113'],48443101,@AmazonHelp @amazonIN No response.,negative,0.9160022735595703
1991769696111325590,['1991769696111325590'],159149122,"RT @AmazonHelp: @shabpasha Hello, this is an automated message. You can view the latest status of your order here: https://t.co/rF6M9SlVut.…",neutral,0.9428744912147522
1991769656861036898,['1991769656861036898'],1722212110665699328,"@AmazonHelp @AmazonHelp My issue was closed without resolution. I received an empty parcel and yet the money was deducted. I still don’t have my product, and I’ve been told the case won’t proceed further. This is unacceptable. I request to reopen the case and issue my refund immediately.",negative,0.9735835194587708
1991769537226895697,['1991769537226895697'],1965367267257954304,"@amazonIN @AmazonHelp 
Have you started 10-minute delivery in Jaipur?",neutral,0.8621304035186768
1991769298944291026,['1991769298944291026'],1983924932670259200,"RT @threeways221845: @amazonIN  @AmazonHelp @AmitAgarwal @AmazonNews_IN 
I am facing a serious issue. My return is not being picked up and…",negative,0.8862790465354919
1991769288148169063,['1991769288148169063'],1983924932670259200,@threeways221845 @amazonIN @AmazonHelp @AmitAgarwal @AmazonNews_IN 🔥🔥🔥,positive,0.8893122673034668
1991769219474788796,['1991769219474788796'],1983919581057183744,"RT @threeways221845: @amazonIN  @AmazonHelp @AmitAgarwal @AmazonNews_IN 
I am facing a serious issue. My return is not being picked up and…",negative,0.8862790465354919
1991769213665701959,['1991769213665701959'],1983919581057183744,@threeways221845 @amazonIN @AmazonHelp @AmitAgarwal @AmazonNews_IN 👍🏻🔥,positive,0.9212362766265869
1991769149350244794,['1991769149350244794'],1983918960212074496,"RT @threeways221845: @amazonIN  @AmazonHelp @AmitAgarwal @AmazonNews_IN 
I am facing a serious issue. My return is not being picked up and…",negative,0.8862790465354919
1991769136264069191,['1991769136264069191'],1983918960212074496,@threeways221845 @amazonIN @AmazonHelp @AmitAgarwal @AmazonNews_IN 👍🏻,positive,0.8299135565757751
1991769104861262022,['1991769104861262022'],1983918960212074496,@threeways221845 @amazonIN @AmazonHelp @AmitAgarwal @AmazonNews_IN 👍🏻👍🏻,positive,0.9009615778923035
1991769028759810548,['1991769028759810548'],1983916767224471552,"RT @threeways221845: @amazonIN  @AmazonHelp @AmitAgarwal @AmazonNews_IN 
I am facing a serious issue. My return is not being picked up and…",negative,0.8862790465354919
1991769016906723507,['1991769016906723507'],1983916767224471552,@threeways221845 @amazonIN @AmazonHelp @AmitAgarwal @AmazonNews_IN 👍🏻👍🏻,positive,0.9009615778923035
1991768871980920955,['1991768871980920955'],1983916541776424961,"RT @threeways221845: @amazonIN  @AmazonHelp @AmitAgarwal @AmazonNews_IN 
I am facing a serious issue. My return is not being picked up and…",negative,0.8862790465354919
1991768860371153204,['1991768860371153204'],1983916541776424961,@threeways221845 @amazonIN @AmazonHelp @AmitAgarwal @AmazonNews_IN 🔥🔥,positive,0.8630906939506531
1991768845993013476,['1991768845993013476'],1887074118396456960,@AmazonHelp Already raised no help from customer service side,negative,0.905750572681427
1991768834240573852,['1991768834240573852'],1382911087348129792,@AmazonHelp And you have added this link but it is not opening.,negative,0.8189489841461182
1991768708453396927,['1991768708453396927'],1382911087348129792,"@AmazonHelp I want to talk to your member now and I am worried for the last 5 days, please let me talk.",negative,0.8628659844398499
1991768665533083888,['1991768665533083888'],159149122,@AmazonHelp No one is replying,negative,0.9179784059524536
1991768493675688343,['1991768493675688343'],159149122,"@AmazonHelp Order id  408-5513795-7064328

Delivery guy lying that he has attempted the delivery what’s wrong with you guys,

My last few order same issue 

Please look into this and call me back

Arrange a call 9886884559

Pending from 10’days",negative,0.9575350880622864
1991768351824359613,['1991768351824359613'],1991739757878255616,@AmazonHelp Not helpful at all. Amazon customer service has failed to resolve my issue.,negative,0.9885441660881042
1991768299806552572,['1991768299806552572'],1552959470455689219,@AmazonHelp I don’t live in Ireland or shop in Ireland. If Very can ship tablets to Northern Ireland then so should Amazon.,negative,0.48815658688545227
